Date,State_name_from,State_name_to,n
April-2020,Wisconsin,Arizona,2833
April-2020,Wisconsin,California,1712
April-2020,Wisconsin,Connecticut,76
April-2020,Wisconsin,Florida,5070
April-2020,Wisconsin,Idaho,51
April-2020,Wisconsin,Illinois,1897
April-2020,Wisconsin,Maryland,196
April-2020,Wisconsin,Massachusetts,125
April-2020,Wisconsin,Michigan,126
April-2020,Wisconsin,Minnesota,814
April-2020,Wisconsin,New_Orleans,117
April-2020,Wisconsin,New_York,593
April-2020,Wisconsin,Other_Louisiana,30
April-2020,Wisconsin,Pennsylvania,1087
April-2020,Wisconsin,Shreveport_Bossier,21
April-2020,Wisconsin,Texas,2426
April-2020,Wisconsin,Utah,127
April-2020,Wisconsin,Virginia,287
April-2020,Wisconsin,Washington,232
April-2020,Wisconsin,Wisconsin,1
February-2020,Alaska,Alaska,217823
February-2020,Alaska,Arizona,7893
February-2020,Alaska,California,15619
February-2020,Alaska,Connecticut,112
February-2020,Alaska,Florida,5240
February-2020,Alaska,Idaho,1732
February-2020,Alaska,Illinois,1528
February-2020,Alaska,Maryland,516
February-2020,Alaska,Massachusetts,1394
February-2020,Alaska,Michigan,347
February-2020,Alaska,Minnesota,1821
February-2020,Alaska,New_Orleans,816
February-2020,Alaska,New_York,2392
February-2020,Alaska,Other_Louisiana,309
February-2020,Alaska,Pennsylvania,1222
February-2020,Alaska,Shreveport_Bossier,62
February-2020,Alaska,Texas,6285
February-2020,Alaska,Utah,2505
February-2020,Alaska,Virginia,415
February-2020,Alaska,Washington,27300
February-2020,Alaska,Wisconsin,576
February-2020,Arizona,Alaska,7545
February-2020,Arizona,Arizona,3090
February-2020,Arizona,California,250448
February-2020,Arizona,Connecticut,4314
February-2020,Arizona,Florida,62525
February-2020,Arizona,Idaho,11291
February-2020,Arizona,Illinois,76446
February-2020,Arizona,Maryland,12633
February-2020,Arizona,Massachusetts,20540
February-2020,Arizona,Michigan,12400
February-2020,Arizona,Minnesota,54506
February-2020,Arizona,New_Orleans,12315
February-2020,Arizona,New_York,62611
February-2020,Arizona,Other_Louisiana,1858
February-2020,Arizona,Pennsylvania,33476
February-2020,Arizona,Shreveport_Bossier,479
February-2020,Arizona,Texas,114100
February-2020,Arizona,Utah,50313
February-2020,Arizona,Virginia,7404
February-2020,Arizona,Washington,84623
February-2020,Arizona,Wisconsin,26546
February-2020,California,Alaska,16514
February-2020,California,Arizona,247898
February-2020,California,California,1426887
February-2020,California,Connecticut,12073
February-2020,California,Florida,287029
February-2020,California,Idaho,42046
February-2020,California,Illinois,196792
February-2020,California,Maryland,51769
February-2020,California,Massachusetts,127338
February-2020,California,Michigan,14027
February-2020,California,Minnesota,79272
February-2020,California,New_Orleans,48614
February-2020,California,New_York,427325
February-2020,California,Other_Louisiana,5553
February-2020,California,Pennsylvania,103471
February-2020,California,Shreveport_Bossier,1554
February-2020,California,Texas,470662
February-2020,California,Utah,149847
February-2020,California,Virginia,28885
February-2020,California,Washington,383434
February-2020,California,Wisconsin,32761
February-2020,Connecticut,Alaska,132
February-2020,Connecticut,Arizona,4764
February-2020,Connecticut,California,12146
February-2020,Connecticut,Florida,98532
February-2020,Connecticut,Idaho,257
February-2020,Connecticut,Illinois,6358
February-2020,Connecticut,Maryland,4845
February-2020,Connecticut,Massachusetts,9
February-2020,Connecticut,Michigan,938
February-2020,Connecticut,Minnesota,3143
February-2020,Connecticut,New_Orleans,1648
February-2020,Connecticut,New_York,614
February-2020,Connecticut,Other_Louisiana,314
February-2020,Connecticut,Pennsylvania,2949
February-2020,Connecticut,Shreveport_Bossier,124
February-2020,Connecticut,Texas,10611
February-2020,Connecticut,Utah,1170
February-2020,Connecticut,Virginia,2090
February-2020,Connecticut,Washington,1935
February-2020,Connecticut,Wisconsin,1765
February-2020,Florida,Alaska,5388
February-2020,Florida,Arizona,63328
February-2020,Florida,California,295662
February-2020,Florida,Connecticut,96525
February-2020,Florida,Florida,134804
February-2020,Florida,Idaho,5990
February-2020,Florida,Illinois,349384
February-2020,Florida,Maryland,160070
February-2020,Florida,Massachusetts,228733
February-2020,Florida,Michigan,73186
February-2020,Florida,Minnesota,152322
February-2020,Florida,New_Orleans,49962
February-2020,Florida,New_York,991500
February-2020,Florida,Other_Louisiana,6269
February-2020,Florida,Pennsylvania,380540
February-2020,Florida,Shreveport_Bossier,2490
February-2020,Florida,Texas,359898
February-2020,Florida,Utah,37196
February-2020,Florida,Virginia,76567
February-2020,Florida,Washington,58782
February-2020,Florida,Wisconsin,84344
February-2020,Idaho,Alaska,1897
February-2020,Idaho,Arizona,11113
February-2020,Idaho,California,42985
