Date,Origin Airport,Origin City,Origin Country,Destination Airport,Destination City,Destination Country,Total Volume,Direct Volume,Destination Lat,Destination Long,Origin Lat,Origin Long
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Baltimore-Washington International Airport, MD, US",Baltimore,United States,252,219,39.3,-76.6,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"John F. Kennedy International Airport, NY, US",New York,United States,245,243,40.7,-74.0,30.0,-90.1
April-2020,"Monroe Regional Airport, LA, US",Monroe,United States,"Dallas/Fort Worth International Airport, TX, US",Dallas/Fort Worth,United States,229,229,32.8,-96.8,32.5,-92.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Miami International Airport, FL, US",Miami,United States,227,219,25.8,-80.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Orlando International Airport, FL, US",Orlando,United States,219,219,28.5,-81.4,30.0,-90.1
April-2020,"Lafayette Regional Airport, LA, US",Lafayette,United States,"Hartsfield-Jackson Atlanta International Airport, GA, US",Atlanta,United States,210,210,33.7,-84.4,30.2,-92.0
April-2020,"Lake Charles Regional Airport, LA, US",Lake Charles,United States,"Dallas/Fort Worth International Airport, TX, US",Dallas/Fort Worth,United States,209,209,32.8,-96.8,30.2,-93.2
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"La Guardia Airport, NY, US",New York,United States,199,179,40.7,-74.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Midland International Airport, TX, US",Midland,United States,192,161,32.0,-102.1,30.0,-90.1
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"Hartsfield-Jackson Atlanta International Airport, GA, US",Atlanta,United States,186,186,33.7,-84.4,32.5,-93.8
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"George Bush Intercontinental Airport, TX, US",Houston,United States,184,184,29.8,-95.4,32.5,-93.8
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"McCarran International Airport, NV, US",Las Vegas,United States,184,142,36.2,-115.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Kansas City International Airport, MO, US",Kansas City,United States,179,124,39.1,-94.6,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Hartsfield-Jackson Atlanta International Airport, GA, US",Atlanta,United States,176,176,33.7,-84.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Seattle-Tacoma International Airport, WA, US",Seattle,United States,171,169,47.6,-122.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Los Angeles International Airport, CA, US",Los Angeles,United States,168,107,34.1,-118.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Cleveland-Hopkins International Airport, OH, US",Cleveland,United States,168,116,41.5,-81.7,30.0,-90.1
April-2020,"Lafayette Regional Airport, LA, US",Lafayette,United States,"George Bush Intercontinental Airport, TX, US",Houston,United States,161,161,29.8,-95.4,30.2,-92.0
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"George Bush Intercontinental Airport, TX, US",Houston,United States,160,160,29.8,-95.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"McCarran International Airport, NV, US",Las Vegas,United States,149,149,36.2,-115.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Los Angeles International Airport, CA, US",Los Angeles,United States,146,146,34.1,-118.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Raleigh-Durham International Airport, NC, US",Raleigh/Durham,United States,144,144,35.8,-78.6,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"San Francisco International Airport, CA, US",San Francisco,United States,141,97,37.8,-122.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Logan International Airport, MA, US",Boston,United States,140,135,42.4,-71.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Philadelphia International Airport, PA, US",Philadelphia,United States,139,86,40.0,-75.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Eppley Airfield, NE, US",Omaha,United States,137,108,41.3,-95.9,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Denver International Airport, CO, US",Denver,United States,135,130,39.7,-105.0,30.0,-90.1
April-2020,"Alexandria International Airport, LA, US",Alexandria,United States,"Dallas/Fort Worth International Airport, TX, US",Dallas/Fort Worth,United States,134,134,32.8,-96.8,31.3,-92.4
April-2020,"Alexandria International Airport, LA, US",Alexandria,United States,"Hartsfield-Jackson Atlanta International Airport, GA, US",Atlanta,United States,133,133,33.7,-84.4,31.3,-92.4
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Chicago O'Hare International Airport, IL, US",Chicago,United States,132,131,41.9,-87.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Baltimore-Washington International Airport, MD, US",Baltimore,United States,128,128,39.3,-76.6,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Orlando International Airport, FL, US",Orlando,United States,121,121,28.5,-81.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Richmond International Airport, VA, US",Richmond,United States,121,86,37.6,-77.5,30.0,-90.1
April-2020,"Lake Charles Regional Airport, LA, US",Lake Charles,United States,"George Bush Intercontinental Airport, TX, US",Houston,United States,121,121,29.8,-95.4,30.2,-93.2
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Nashville International Airport, TN, US",Nashville,United States,120,120,36.2,-86.8,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Boise Air Terminal, ID, US",Boise,United States,118,104,43.6,-116.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Tampa International Airport, FL, US",Tampa,United States,110,110,27.9,-82.5,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Sacramento International Airport, CA, US",Sacramento,United States,105,19,38.6,-121.5,30.0,-90.1
April-2020,"Baton Rouge Metropolitan Airport, LA, US",Baton Rouge,United States,"George Bush Intercontinental Airport, TX, US",Houston,United States,105,105,29.8,-95.4,30.5,-91.2
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Phoenix Sky Harbor International Airport, AZ, US",Phoenix,United States,103,9,33.4,-112.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Charlotte Douglas International Airport, NC, US",Charlotte,United States,101,97,35.2,-80.8,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Indianapolis International Airport, IN, US",Indianapolis,United States,101,37,39.8,-86.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Salt Lake City International Airport, UT, US",Salt Lake City,United States,97,53,40.8,-111.9,30.0,-90.1
April-2020,"Monroe Regional Airport, LA, US",Monroe,United States,"George Bush Intercontinental Airport, TX, US",Houston,United States,94,94,29.8,-95.4,32.5,-92.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Denver International Airport, CO, US",Denver,United States,92,92,39.7,-105.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Denver International Airport, CO, US",Denver,United States,91,91,39.7,-105.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Washington Dulles International Airport, DC, US",Washington,United States,90,89,38.9,-77.0,30.0,-90.1
April-2020,"Baton Rouge Metropolitan Airport, LA, US",Baton Rouge,United States,"Hartsfield-Jackson Atlanta International Airport, GA, US",Atlanta,United States,90,90,33.7,-84.4,30.5,-91.2
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Albuquerque International Airport, NM, US",Albuquerque,United States,89,20,35.1,-106.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Reno/Tahoe International Airport, NV, US",Reno,United States,89,56,39.5,-119.8,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Rio Grande Valley International Airport, TX, US",Harlingen,United States,79,66,26.2,-97.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Chicago O'Hare International Airport, IL, US",Chicago,United States,74,54,41.9,-87.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"General Mitchell International Airport, WI, US",Milwaukee,United States,70,9,43.0,-87.9,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Jacksonville International Airport, FL, US",Jacksonville,United States,70,47,30.3,-81.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Buffalo Niagara International Airport, NY, US",Buffalo,United States,68,46,42.9,-78.9,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Pittsburgh International Airport, PA, US",Pittsburgh,United States,67,0,40.4,-80.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Salt Lake City International Airport, UT, US",Salt Lake City,United States,66,52,40.8,-111.9,30.0,-90.1
April-2020,"Alexandria International Airport, LA, US",Alexandria,United States,"George Bush Intercontinental Airport, TX, US",Houston,United States,66,66,29.8,-95.4,31.3,-92.4
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Newark Liberty International Airport, NY, US",New York,United States,64,52,40.7,-74.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Theodore Francis Green State Airport, RI, US",Providence,United States,60,19,41.8,-71.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Philadelphia International Airport, PA, US",Philadelphia,United States,59,58,40.0,-75.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Portland International Airport, OR, US",Portland,United States,58,0,45.5,-122.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Philadelphia International Airport, PA, US",Philadelphia,United States,58,0,40.0,-75.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Cleveland-Hopkins International Airport, OH, US",Cleveland,United States,57,57,41.5,-81.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Norman Y. Mineta San José International Airport, CA, US",San Jose,United States,56,0,37.3,-121.9,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Austin-Bergstrom International Airport, TX, US",Austin,United States,56,56,30.3,-97.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Minneapolis-St Paul International/Wold-Chamberlain Airport, MN, US",Minneapolis/St Paul,United States,56,56,45.0,-93.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Burbank Bob Hope Airport, CA, US",Burbank,United States,54,35,34.2,-118.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Pensacola International Airport, FL, US",Pensacola,United States,52,52,30.4,-87.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Raleigh-Durham International Airport, NC, US",Raleigh/Durham,United States,50,0,35.8,-78.6,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"John Glenn Columbus International Airport, OH, US",Columbus,United States,49,0,40.0,-83.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"San Francisco International Airport, CA, US",San Francisco,United States,49,0,37.8,-122.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Lubbock Preston Smith International Airport, TX, US",Lubbock,United States,48,30,33.6,-101.9,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Logan International Airport, MA, US",Boston,United States,46,3,42.4,-71.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Pittsburgh International Airport, PA, US",Pittsburgh,United States,45,0,40.4,-80.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Tulsa International Airport, OK, US",Tulsa,United States,45,0,36.2,-96.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Seattle-Tacoma International Airport, WA, US",Seattle,United States,44,17,47.6,-122.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Portland International Airport, OR, US",Portland,United States,43,0,45.5,-122.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Detroit Metropolitan Wayne County Airport, MI, US",Detroit,United States,42,32,42.3,-83.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Indianapolis International Airport, IN, US",Indianapolis,United States,42,0,39.8,-86.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"San Diego International Airport, CA, US",San Diego,United States,42,0,32.7,-117.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Norfolk International Airport, VA, US",Norfolk,United States,40,0,36.8,-76.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Anchorage International Airport, AK, US",Anchorage,United States,40,0,61.2,-149.9,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Ontario International Airport, CA, US",Ontario,United States,40,6,34.1,-117.7,30.0,-90.1
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"Los Angeles International Airport, CA, US",Los Angeles,United States,39,0,34.1,-118.2,32.5,-93.8
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"McCarran International Airport, NV, US",Las Vegas,United States,38,0,36.2,-115.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"George Bush Intercontinental Airport, TX, US",Houston,United States,37,37,29.8,-95.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Will Rogers World Airport, OK, US",Oklahoma City,United States,37,0,35.5,-97.5,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Minneapolis-St Paul International/Wold-Chamberlain Airport, MN, US",Minneapolis/St Paul,United States,36,4,45.0,-93.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Seattle-Tacoma International Airport, WA, US",Seattle,United States,35,0,47.6,-122.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Sacramento International Airport, CA, US",Sacramento,United States,35,0,38.6,-121.5,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Logan International Airport, MA, US",Boston,United States,34,0,42.4,-71.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Raleigh-Durham International Airport, NC, US",Raleigh/Durham,United States,34,0,35.8,-78.6,30.0,-90.1
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"Phoenix Sky Harbor International Airport, AZ, US",Phoenix,United States,34,0,33.4,-112.1,32.5,-93.8
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Bradley International Airport, CT, US",Hartford,United States,33,0,41.8,-72.7,30.0,-90.1
