group,time,confirmed,confirmed_rolling,population,travel_infectious,travel_infectious_lower,travel_infectious_upper,infectious_travellers,infectious_travellers_lower,infectious_travellers_upper,import_risk,import_risk_lower,import_risk_upper,n
Connecticut,2020-04-07,7781,803.2857142857143,3565287,50181.8849802597,36132.56093208791,71025.73417006718,0.014075131954386758,0.010134544829655484,0.019921463312790016,0.12369055353855031,0.08906115153333607,0.17506740486997288,8.787878787878789
Connecticut,2020-04-08,8781,890.5714285714286,3565287,50643.730572957495,36449.7068338215,71766.30839007784,0.01420467148169488,0.010223498650689692,0.020129181294543143,0.1248289312027732,0.08984286693030337,0.1768928053156822,8.787878787878789
Connecticut,2020-04-09,9784,908.5714285714286,3565287,51825.85554996587,37448.01006672383,73290.73577770144,0.014536236647979775,0.0105035050661346,0.02055675623805361,0.12774268569436772,0.09230352936906164,0.1806502820919863,8.787878787878789
Connecticut,2020-04-10,10538,925,3565287,52879.60426588753,38277.13700599178,74758.19201386061,0.01483179454161405,0.010736060520791674,0.020968351780336507,0.1303400126384265,0.09434719851604806,0.18426733382719962,8.787878787878789
Connecticut,2020-04-11,11510,886.8571428571429,3565287,53574.68071554636,38706.700269665525,75946.63127711148,0.01502675120279135,0.010856545425281479,0.021301687992330343,0.13205326814574217,0.09540600525247361,0.1871966520538121,8.787878787878789
Connecticut,2020-04-12,12035,853.4285714285714,3565287,54461.916640992284,39287.88465403435,77414.89717616122,0.01527560520120604,0.011019557374773574,0.021713510630746197,0.13424016691968946,0.09683853450558597,0.19081569948231508,8.787878787878789
Connecticut,2020-04-13,13381,871.4285714285714,3565287,55537.018968797,40016.36101249938,79164.38197325799,0.01557715240562597,0.01122388212014892,0.022204210200541495,1.4537814097053512,1.0475002584621036,2.0722701535024224,93.32780291603822
Connecticut,2020-04-14,13989,895.8571428571429,3565287,56938.05537567323,41029.85196195832,81334.66247429991,0.015970118359524277,0.011508148421700221,0.02281293552925751,1.4904560588034854,1.0740302078289545,2.1290811510108307,93.32780291603822
Connecticut,2020-04-15,14755,862.8571428571429,3565287,56911.682221728195,40574.59691102011,82171.33789244403,0.015962721155892413,0.011380457424891773,0.023047608198847394,1.489765694040801,1.0621130876446632,2.1509826356680963,93.32780291603822
Connecticut,2020-04-16,15884,846.7142857142857,3565287,58132.127131333415,41324.69382621948,84347.76683806744,0.016305034386105078,0.011590846354366278,0.023658058057617084,1.521713035725641,1.0817482241903762,2.207954579777477,93.32780291603822
