location,division,location_id,division_id,pangolin_lineage,prev_10_day,location_lineage,mean_growth_rate,nday_threshold,first_date,end_date
United Kingdom,United Kingdom,GBR,GBR,B.1.1.7,0.13034825870646766,United Kingdom_United Kingdom_B.1.1.7,0.23570779468200526,10,2020-10-25,2020-11-04
Bronx,New York,36005,NY,B.1.526.2,0.1282051282051282,New York_Bronx_B.1.526.2,0.01257080261780147,10,2021-01-24,2021-02-03
Orange,California,06059,CA,B.1,0.1270718232044199,California_Orange_B.1,-0.013493098255306825,10,2020-05-03,2020-05-13
Orange,California,06059,CA,B.1.1.132,0.1270718232044199,California_Orange_B.1.1.132,0.06730642832035956,10,2020-05-18,2020-05-28
Dane,Wisconsin,55025,WI,B.1,0.1259259259259259,Wisconsin_Dane_B.1,0.04260366092246787,10,2020-03-15,2020-03-25
King,Washington,53033,WA,B.1,0.1256544502617801,Washington_King_B.1,-0.12076084701779609,10,2020-04-13,2020-04-23
Yakima,Washington,53077,WA,B.1.1.26,0.12544802867383512,Washington_Yakima_B.1.1.26,-0.03582296596770579,10,2020-04-27,2020-05-07
San Diego,California,06073,CA,B.1.427,0.12534818941504178,California_San Diego_B.1.427,0.057231617398268105,10,2021-01-03,2021-01-13
Maricopa,Arizona,04013,AZ,B.1,0.12380952380952381,Arizona_Maricopa_B.1,-0.3065243129643785,10,2021-03-07,2021-03-17
San Diego,California,06073,CA,B.1,0.11977715877437325,California_San Diego_B.1,0.16409654263406895,10,2020-03-15,2020-03-25
United Kingdom,United Kingdom,GBR,GBR,B.40,0.11840796019900497,United Kingdom_United Kingdom_B.40,0.15267075369562513,10,2020-03-01,2020-03-11
United Kingdom,United Kingdom,GBR,GBR,B.1.1.37,0.1154228855721393,United Kingdom_United Kingdom_B.1.1.37,0.18782691763687884,10,2020-06-01,2020-06-11
King,Washington,53033,WA,B.1.429,0.1099476439790576,Washington_King_B.1.429,0.09449262189140935,10,2021-02-08,2021-02-18
United Kingdom,United Kingdom,GBR,GBR,B.1.1,0.10945273631840796,United Kingdom_United Kingdom_B.1.1,0.24775828040820097,10,2020-02-23,2020-03-04
Massachusetts,Massachusetts,MA,MA,B.1.1.316,0.10839160839160839,Massachusetts_Massachusetts_B.1.1.316,-0.04782402840714187,10,2021-01-03,2021-01-13
Massachusetts,Massachusetts,MA,MA,B.1.375,0.10839160839160839,Massachusetts_Massachusetts_B.1.375,0.043142034091249205,10,2020-12-20,2020-12-30
South Africa,South Africa,ZAF,ZAF,B.1.351,0.10600706713780919,South Africa_South Africa_B.1.351,0.07940822997544286,10,2020-10-18,2020-10-28
Dane,Wisconsin,55025,WI,B.1.2,0.1037037037037037,Wisconsin_Dane_B.1.2,-0.05019759828512129,10,2020-08-10,2020-08-20
Los Angeles,California,06037,CA,B.1.427,0.10309278350515463,California_Los Angeles_B.1.427,0.11804682630249935,6,2021-01-04,2021-01-14
Bronx,New York,36005,NY,B.1.526,0.10256410256410256,New York_Bronx_B.1.526,-0.03988621773630439,10,2020-12-27,2021-01-06
Orange,California,06059,CA,B.1.320,0.09944751381215469,California_Orange_B.1.320,-0.08394251563599357,10,2020-04-19,2020-04-29
Yakima,Washington,53077,WA,B.1.232,0.0967741935483871,Washington_Yakima_B.1.232,-0.0629295405242636,10,2021-01-03,2021-01-13
Santa Clara,California,06085,CA,B.1.429,0.09536082474226804,California_Santa Clara_B.1.429,0.04374085732536883,10,2020-12-06,2020-12-16
Bronx,New York,36005,NY,B.1.243,0.09230769230769231,New York_Bronx_B.1.243,0.03302621517422505,10,2020-12-20,2020-12-30
San Diego,California,06073,CA,B.1.241,0.09192200557103064,California_San Diego_B.1.241,-0.11956609212474047,10,2020-06-21,2020-07-01
Massachusetts,Massachusetts,MA,MA,B.1.369,0.09090909090909091,Massachusetts_Massachusetts_B.1.369,-0.2666584282690552,10,2020-09-22,2020-10-02
Kings,New York,36047,NY,B.1.1.7,0.08994708994708994,New York_Kings_B.1.1.7,0.042194648404455616,10,2021-02-07,2021-02-17
Kings,New York,36047,NY,B.1.526,0.08994708994708994,New York_Kings_B.1.526,0.03289150003731579,10,2021-02-01,2021-02-11
Kings,New York,36047,NY,B.1.526.1,0.08994708994708994,New York_Kings_B.1.526.1,0.02783851557745078,10,2021-02-21,2021-03-03
San Diego,California,06073,CA,B.1.243,0.08913649025069638,California_San Diego_B.1.243,0.002592304965298038,10,2020-04-20,2020-04-30
Harris,Texas,48201,TX,B.1.1.7,0.087248322147651,Texas_Harris_B.1.1.7,0.1117159242614019,10,2021-01-18,2021-01-28
San Diego,California,06073,CA,B.1.1.7,0.08635097493036212,California_San Diego_B.1.1.7,0.016441243310360183,10,2021-02-07,2021-02-17
Yakima,Washington,53077,WA,B.1.1,0.08602150537634409,Washington_Yakima_B.1.1,0.009870861716441536,10,2020-05-03,2020-05-13
Harris,Texas,48201,TX,B.1.206,0.08277404921700224,Texas_Harris_B.1.206,0.20073471754524247,10,2020-06-01,2020-06-11
San Diego,California,06073,CA,B.1.2,0.0807799442896936,California_San Diego_B.1.2,0.018603881109330058,10,2020-11-23,2020-12-03
King,Washington,53033,WA,B.1.1.7,0.078534031413612565,Washington_King_B.1.1.7,0.09331300220174742,6,2021-01-18,2021-01-28
